doubly 111100110
doubt 1001001110110
doubtful 111100000
doves 11010
down 11000101110011101010011001
dowry 111100000
dram 111100100
dramatis 0
draw 11100111011100011001101
draws 111100000
dread 111100100
dreadful 111100000
dream 1110001
dreaming 111100000
dressd 100
dressed 111100100
drew 111100110
dried 100
drink 11000
drive 11110000011001
drones 1110001
drop 111100100101
droppeth 111100100
drops 110101001110110
dross 1110011
drown 11011
drowning 11010
drudge 111100000
drum 1110001
drunk 101
dry 111100000
ducat 110111110110
ducats 11000110111011100010011001101
due 111100100
duke 010111100101100110011000
dukeantonio 111100100
dukebring 111100100
dukecame 111100100
dukeget 111100100
dukego 111100100
dukehe 111100100
dukehow 111100100
dukei 111100100
dukemake 111100100
dukesir 111100100
dukethat 111100100
dukethis 111100100
dukeupon 111100100
dukewhat 111100100
dukewith 111100100
dukeyou 111100100
dulcet 111100000
dull 11100111101011011
dull-eyed 111100001
dumb 100111100101
dumb-show 101
duty 111100011
dwell 11000101
dwells 1101011001
each 111100110
eaning 11000
eanlings 11000
ear 101111010110011011
earliest 111100100
early 111100100
earnestly 111100100
ears 10011100001110110
earth 11001110111001110000
earthly 111100011100
easier 101
easy 100100
eat 11000
ecstasy 111100000
edge 11010
edifice 100
een 111100011
eer 1110000111000111011
either 101101
eke 111100000
elbow 11010
elder 111100100
election 111010111000
eleven 11010
eloquence 111100000
else 11100011101110011000100
embrace 100
embraced 1110010101
employ 1110100
employd 111100100
empties 111100110
empty 11100111110010
enacted 111100100
enchanted 111100110
end 10010111000111000110011001
endeavour 111100010
endeavours 11010
endymion 111100110
enemies 1110111
enemy 11000111010111001
enfold 1110011
enforce 111100010
enforced 11110000011011
engaged 111100000
engenderd 111100000
england 101100111000011010
english 1011110010
englishman 101
enjoind 1110101
enjoyd 1110010
enjoying 111100000
enough 11010110001011100111010101
enow 111100011100
enrobe 100
enter 100100100100100100100100100100100100101100100100100100100100
enterd 111100110
entertain 100
enthroned 111100100
entirely 111100000
entrap 111100000
entreat 11010111001111001100
envious 111100000
envy 111100100
envys 111100100
epitaph 111100100
equal 110001110111
ere 10010011100111110000101
erebus 111100110
ergo 11010
error 11110000011001
escaped 1110111
established 111100100
estate 1001110111
estates 1110101
esteemd 111100100
estimable 11000
estimation 11100111110010
even 100101100110101001001001100011001101
events 111100110
ever 101111000011000101100100100101100
evermore 100111100011
every 1001001100011100001100011000100101
evil 110001110101
ewe 111100100
ewes 11000
exact 11000
exaction 11000
exactst 111100100
example 111011111010
exceed 111100000
exceeding 10011001
excellent 111100100
except 11001
excess 110001110101
exchange 1110010
exclaim 111100000
excrement 111100000
excuse 11100001110101
execute 1110111
exeunt 100100100100100101101100100100101100100100100100100100
exhibit 11011
exhortation 100
exit 1100010110010010010010011011100100100101
expect 11000110101110100101
expires 11000
exploit 111100000
exposition 111100100
expressd 11000111010111001
expressing 111100011
expressly 111100100
extend 110001110000
extremest 100
eye 10011001110001011001001100011001101
eyes 100100101100110001001101010011011
eyes-- 111100000
face 11000101110101001110001101
faces 1110001
fading 111100000
fail 1001100110111010
faild 111100000
faint 100
fair 1001001001001100010110010011001101101101
fairer 100110011110000
fairest 11001
fairly 1001110111
fairness 111100000
faith 100101110011011101111001101
faithfully 111100110
faithless 1110000
falconbridge 101
fall 101100111100000100
fallen 111100100
falling 1110001
falls 1011110110
false 101111011011011
falsehood 11000
famished 11010
fancy 111100000
fancys 111100000
fangs 111100001
far 11010110101101011001101
fare 10011001100110011110000101
farewell 101110011011011110000
farther 111100100
farthest 11010
fashion 101111100010
fashiond 11000
fast 11000110101001110101
faster 111001011011
fat 11000
fatal 1110111
fates 11010
father 1011001001001001001001001110010
fathers 10111001100
fault 11110000011011
faults 11010
favour 11000111100001
fawning 11000
fear 100100100111010111000100101
feard 11001
fearful 11000
fearfully 111100110
feast 110101100111011
feasting 1110001
feather-bed 11010
fed 1110111100
fee 111011111010101
feed 110001101011011100
feeder 1110001
feel 111100000
feign 111100110
fell 101110111101111000101
fellow 100111100001100
fellows 100110011110110
felt 1110111
fence 101
ferry 111100010
fetching 111100110
few 111100000
fie 10011100011110011
fields 11001
fiend 11010
fife 1110001
fifteen 11010
fifth 101
fight 111100000
figure 1110011
fill 111100100
fill-horse 11010
find 100111000011000100101100101101101
finds 111100011
fine 111100010101
finger 11010111001111011
fire 11001110101100011000
firm 111100100
first 10011100011001011100011000100101
fish 1001110110
fit 111100110
five 11010
flat 1110111
flatly 111100011
flats 100
flatter 1110001
fled 1110100
fledged 1110111
fleece 1001110111
fleet 11110000011001
flesh 11000101111001010010011000101
flew 1110111
flight 1001110110
flint 111100100
flock 111100100
flood 100111100011
floods 111100110
floor 111100110
flourish 110011101110111000
fly 10011100011110011
follies 1110010
follow 10111100101101011000
followed 101
follower 11010
followers 11010111100001
following 11000
follows 100100
